Ticker,Price,Day%,Week%,MCap($B),Sector,Industry,Above EMA%,RSI,MACD,MACD Hist,ROC20%,Vol Ratio,Momentum,Rating
NE,46.21,0.73,4.32,7.3,N/A,N/A,6.92,65.5,Bull,0.5,13.81,0.01,52.3,
PCVX,62.23,-1.69,5.73,9.4,N/A,N/A,10.09,62.9,Bull,0.48,12.13,0.01,52.2,
FUBO,10.29,-0.36,5.03,1.1,N/A,N/A,5.14,56.6,Bull,0.11,14.49,0.01,52.2,
URGN,49.24,-2.09,2.33,2.5,N/A,N/A,22.68,68.0,Bull,0.16,19.75,0.02,52.1,
ZG,37.27,-0.45,2.87,8.4,N/A,N/A,7.01,60.0,Bull,0.28,13.49,0.0,52.0,
BTE,4.87,2.96,13.52,3.4,N/A,N/A,11.72,67.9,Bull,0.06,10.93,0.01,51.9,
RIG,5.99,2.65,4.81,6.5,N/A,N/A,7.79,66.5,Bull,0.07,12.69,0.02,51.8,
STRD,69.5,0.36,1.21,26.6,N/A,N/A,7.15,69.6,Bull,0.6,12.7,0.05,51.7,
NOW,127.8,0.47,0.43,131.5,N/A,N/A,13.97,62.7,Bull,0.27,39.0,0.02,51.7,
DOX,60.27,0.1,2.74,6.5,N/A,N/A,6.59,63.7,Bull,0.31,13.31,0.01,51.7,
AUPH,16.17,5.69,4.66,2.2,N/A,N/A,3.38,57.7,Bull,0.09,3.39,1.4,51.7,
EWTX,45.76,-1.46,5.97,5.0,N/A,N/A,11.84,60.3,Bull,0.19,16.47,0.01,51.6,
OSCR,32.04,-0.81,4.08,10.0,N/A,N/A,11.29,57.8,Bull,0.27,10.78,0.01,51.5,
GILD,146.07,-1.04,5.74,183.0,N/A,N/A,9.08,70.0,Bull,1.36,11.62,0.02,51.3,
SDRL,47.68,3.07,1.43,2.9,N/A,N/A,7.83,62.6,Bull,0.28,12.21,0.01,51.3,
KNTK,55.49,1.43,7.41,8.9,N/A,N/A,11.7,71.0,Bull,0.47,10.3,0.01,51.2,
MDT,93.55,-0.62,3.28,120.5,N/A,N/A,9.44,72.0,Bull,0.43,14.07,0.01,51.1,
HCM,12.55,-0.34,3.19,2.2,N/A,N/A,6.5,63.8,Bull,0.06,14.48,0.0,51.0,
ANAB,57.92,-2.26,3.39,1.8,N/A,N/A,1.04,51.1,Bull,0.54,15.17,0.02,50.8,
NBR,92.93,1.28,1.73,1.5,N/A,N/A,6.24,58.4,Bull,1.16,12.51,0.02,50.8,
AFGD,20.05,2.69,3.25,1.7,N/A,N/A,3.6,80.1,Bull,0.06,3.62,2.73,50.8,
BTU,26.55,-1.12,10.21,3.3,N/A,N/A,8.32,63.2,Bull,0.43,11.52,0.01,50.8,
MKC,56.01,-0.84,2.86,15.2,N/A,N/A,7.85,66.1,Bull,0.31,11.59,0.02,50.6,
DIS,106.61,-0.3,1.73,184.6,N/A,N/A,5.85,62.8,Bull,0.5,14.84,0.01,50.6,
LQDT,43.03,-1.26,0.21,1.4,N/A,N/A,9.15,61.0,Bull,0.22,10.99,0.01,50.6,
GIS,39.58,-1.01,1.73,21.4,N/A,N/A,8.02,62.9,Bull,0.21,11.35,0.01,50.5,
DOO,67.39,-1.17,4.01,5.0,N/A,N/A,7.81,62.6,Bull,0.33,12.05,0.05,50.5,
BDX,186.94,-0.35,2.73,51.1,N/A,N/A,12.99,73.9,Bull,0.58,22.21,0.01,50.4,
PBT,33.86,2.08,1.35,1.6,N/A,N/A,15.86,66.0,Bull,0.07,19.4,0.97,50.3,
TFPM,32.44,-0.87,3.66,6.8,N/A,N/A,6.11,60.5,Bull,0.13,18.46,0.02,50.3,
CVI,37.43,1.98,5.13,3.7,N/A,N/A,13.67,64.4,Bull,0.32,8.33,0.01,50.2,
DINO,95.53,0.96,3.98,16.8,N/A,N/A,15.41,67.9,Bull,0.47,7.89,0.01,50.1,
