=== Stock Screener — 2026-06-24 13:45 ===
Criteria: Above 50d EMA | Positive weekly gain | Market cap > $1B
Fetching universe...

  NASDAQ screener: 2774 stocks with market cap > $1B
  Top 5 by daily gain: MAAS(+19.0%), EPC(+15.4%), QNT(+13.5%), JBIO(+13.0%), LILA(+12.7%)
  S&P 500 loaded: 503 tickers
Screening 2774 stocks...
  Priority tier: 902 (top 500 movers + 402 S&P 500)
  Remaining: 1872

  === Priority Tier ===
  Priority: 300/902 (177 passed, 0 errors)
  Priority: 600/902 (239 passed, 186 errors)
  Priority: 900/902 (239 passed, 486 errors)
  Priority: 902/902 (239 passed, 488 errors)

  Retrying 488 priority tickers...
  After priority retry: 239 passed

  === Remaining Tier ===
  Remaining: 300/1872 (239 total passed)
  Remaining: 600/1872 (239 total passed)
  Remaining: 900/1872 (239 total passed)
  Remaining: 1200/1872 (239 total passed)
  Remaining: 1500/1872 (239 total passed)
  Remaining: 1800/1872 (239 total passed)
  Remaining: 1872/1872 (239 total passed)

  Final: 239 stocks passed all filters

================================================================================
  239 stocks passed all filters
  Sorted by composite momentum (MACD 35 | ROC 30 | Volume 25 | EMA 10)
  Rating: 5=Strong Buy → 1=Strong Sell | Vol Ratio: >1 = above avg volume
================================================================================

    Ticker   Price   Day%  Week%  MCap($B)                  Sector                                  Industry  Above EMA%   RSI  MACD  MACD Hist  ROC20%  Vol Ratio  Momentum  Rating
70     TGT  137.83   2.43   3.32      62.6      Consumer Defensive                           Discount Stores        9.33  64.5  Bull       0.69    9.89       0.07      50.1    3.45
71    ACAD   23.43   3.67  11.89       4.0              Healthcare                             Biotechnology        7.21  67.4  Bull       0.21   10.21       0.10      49.6     NaN
72    UFCS   50.60   0.61   4.90       1.3      Financial Services           Insurance - Property & Casualty       12.66  72.7  Bull       0.29    7.68       0.04      49.4     NaN
73    GLUE   20.67  -0.93  16.36       1.7              Healthcare                             Biotechnology       11.96  65.6  Bull       0.37    7.63       0.08      49.3    4.75
74     LEG   11.27   5.23   3.87       1.5       Consumer Cyclical        Furnishings, Fixtures & Appliances        7.90  63.4  Bull       0.10    9.94       0.03      49.2     NaN
75    BLLN  107.14   0.14   6.40       4.9              Healthcare                    Diagnostics & Research       15.61  60.0  Bull       0.20   26.82       0.18      49.1     NaN
76     ALL  232.55   0.31   4.24      59.9      Financial Services           Insurance - Property & Casualty        7.55  68.1  Bull       1.47    9.85       0.05      49.0    3.80
77    WINA  412.12   1.55   1.94       1.5       Consumer Cyclical                          Specialty Retail        5.40  64.7  Bull       2.42   10.13       0.14      49.0     NaN
78    MRVI    5.55   6.63  10.68       2.0              Healthcare                             Biotechnology       23.35  75.5  Bull       0.01   26.60       0.06      48.9     NaN
79    HGTY   11.38   3.17   2.61       3.9      Financial Services           Insurance - Property & Casualty        6.29  64.0  Bull       0.08    9.95       0.06      48.6    3.38
80      WH   87.69   3.59   2.73       6.6       Consumer Cyclical                                   Lodging        7.79  62.0  Bull       0.82    9.25       0.02      48.3    4.41
81    BALL   61.67   1.93   5.97      16.4       Consumer Cyclical                    Packaging & Containers        7.02  72.2  Bull       0.87    9.45       0.03      48.2    4.47
82     ECO   55.31  -1.44   6.37       2.2             Industrials                           Marine Shipping        9.21  62.0  Bull       0.75    7.29       0.15      48.1     NaN
83    EYPT   14.47  -0.56  12.31       1.2              Healthcare                             Biotechnology        8.89  63.5  Bull       0.28    8.35       0.02      48.0    4.75
