=== Stock Screener — 2026-06-11 13:45 ===
Criteria: Above 50d EMA | Positive weekly gain | Market cap > $1B
Fetching universe...

  NASDAQ screener: 2755 stocks with market cap > $1B
  Top 5 by daily gain: PBLS(+58.0%), FAC(+37.1%), FRMI(+22.6%), CASY(+20.3%), PLBL(+16.4%)
Screening 2755 stocks...
  Priority tier (top 300 movers): 300
  Remaining: 2455

  === Priority Tier ===
  Priority: 300/300 (167 passed, 0 errors)

  === Remaining Tier ===
  Remaining: 300/2455 (221 total passed)
  Remaining: 600/2455 (221 total passed)
  Remaining: 900/2455 (221 total passed)
  Remaining: 1200/2455 (221 total passed)
  Remaining: 1500/2455 (221 total passed)
  Remaining: 1800/2455 (221 total passed)
  Remaining: 2100/2455 (221 total passed)
  Remaining: 2400/2455 (221 total passed)
  Remaining: 2455/2455 (221 total passed)

  Final: 221 stocks passed all filters

================================================================================
  221 stocks passed all filters
  Sorted by composite momentum (MACD 35 | ROC 30 | Volume 25 | EMA 10)
  Rating: 5=Strong Buy → 1=Strong Sell | Vol Ratio: >1 = above avg volume
================================================================================

    Ticker   Price   Day%  Week%  MCap($B)                  Sector                                  Industry  Above EMA%   RSI  MACD  MACD Hist  ROC20%  Vol Ratio  Momentum  Rating
99     CNA   45.16   0.80   7.22      12.2      Financial Services           Insurance - Property & Casualty        1.74  59.7  Bull       0.37    7.06       0.01      43.1     NaN
100    IBN   27.24   2.41   4.41      97.7      Financial Services                          Banks - Regional        2.19  61.4  Bull       0.18    6.07       0.11      43.1     NaN
101    HMN   48.50   0.00   6.41       2.0      Financial Services           Insurance - Property & Casualty        6.32  65.0  Bull       0.20   10.03       0.04      43.0    4.00
102    LNC   36.40   2.40   6.95       7.0      Financial Services                          Insurance - Life        2.14  57.9  Bull       0.18    6.85       0.01      43.0    3.38
103   XERS    6.66   1.90   8.37       1.2              Healthcare  Drug Manufacturers - Specialty & Generic        7.01  61.6  Bull       0.05    3.65       0.09      42.9     NaN
104   HGTY   10.89  -1.54   7.19       3.7      Financial Services           Insurance - Property & Casualty        2.77  58.7  Bull       0.06    5.93       0.05      42.7    3.43
105  SENEA  148.47   0.34   3.80       1.0      Consumer Defensive                            Packaged Foods        4.30  57.9  Bull       0.64    7.86       0.31      42.5     NaN
106    PFG  109.34  -0.59   5.63      23.6      Financial Services                          Asset Management        9.52  74.6  Bull       0.43    9.75       0.03      42.0    3.09
107    ALL  223.63   0.28   6.07      57.6      Financial Services           Insurance - Property & Casualty        4.93  61.3  Bull       1.33    4.30       0.02      41.9    3.75
108    PBF   43.02  -0.85   0.61       5.1                  Energy            Oil & Gas Refining & Marketing        3.95  54.8  Bull       0.21    5.82       0.02      41.7    2.62
109   HEPS    2.82   1.81   8.46       1.0       Consumer Cyclical                           Internet Retail        3.21  56.9  Bull       0.01    7.63       0.02      41.5     NaN
110   AFYA   14.70   0.00   2.65       1.3      Consumer Defensive             Education & Training Services        2.62  58.3  Bull       0.07    4.26       0.02      40.7     NaN
111     CB  331.10   0.36   5.28     128.4      Financial Services           Insurance - Property & Casualty        2.38  59.6  Bull       1.62    4.78       0.03      40.5    3.67
112    FLG   14.48   0.39   2.73       6.0      Financial Services                          Banks - Regional        4.55  61.0  Bull       0.06    5.80       0.03      39.7    3.88
113   ANDE   74.71   0.96   2.38       2.5      Consumer Defensive                         Food Distribution        3.80  58.6  Bull       0.35    4.31       0.02      39.5    5.00
114    PGR  203.85  -0.06   4.34     118.9      Financial Services           Insurance - Property & Casualty        1.95  57.0  Bull       0.99    4.03       0.04      39.3    3.42
115   SGRY   14.51   3.61   6.03       1.9              Healthcare                   Medical Care Facilities        5.12  62.6  Bull       0.09    1.36       0.04      39.2    4.42
116     UL   58.61  -0.22   6.47     126.9      Consumer Defensive             Household & Personal Products        0.82  58.0  Bull       0.30    2.91       0.08      39.0    4.40
117   SLGN   39.82  -0.02   9.76       4.2       Consumer Cyclical                    Packaging & Containers        2.36  62.0  Bull       0.38    2.28       0.05      38.9    4.50
118    RNR  298.31  -0.47   7.41      12.7      Financial Services                   Insurance - Reinsurance        1.42  56.4  Bull       1.52    2.86       0.01      38.7    3.12
119   PRVA   23.14  -0.13   8.28       2.9              Healthcare               Health Information Services        2.46  57.6  Bull       0.17    2.25       0.03      38.7    4.57
120    BKD   13.28   0.99  11.69       3.2              Healthcare                   Medical Care Facilities        0.28  53.8  Bull       0.08    3.27       0.02      38.6    4.60
121    ELS   64.51   0.57   4.36      12.9             Real Estate                        REIT - Residential        2.31  61.1  Bull       0.32    2.29       0.02      38.5    4.22
122   PRDO   35.15  -0.20   2.96       2.2      Consumer Defensive             Education & Training Services        2.96  58.8  Bull       0.25    1.13       0.02      37.7     NaN
123   INVA   23.09   0.39   4.20       1.7              Healthcare                             Biotechnology        2.58  58.8  Bull       0.17   -0.22       0.02      36.5    4.00
124   MCRI  127.29   0.14   4.35       2.3       Consumer Cyclical                         Resorts & Casinos       11.20  74.2  Bull       0.37    9.87       0.09      36.5    3.67
125   CALM   79.27   0.09   6.46       3.8      Consumer Defensive                             Farm Products        2.35  60.1  Bull       0.42   -0.30       0.03      36.4    3.50
126   LIVN   78.50   0.64   6.48       4.3              Healthcare                           Medical Devices       12.11  67.1  Bull       0.24    8.37       0.03      35.9    4.40
127   LUCK    8.66  -2.26  13.05       1.2       Consumer Cyclical                                   Leisure        5.82  55.5  Bull       0.03   11.50       0.07      35.9     NaN
128    NBN  127.53   0.57   5.50       1.1      Financial Services                          Banks - Regional        5.37  59.3  Bull       0.44    7.52       0.13      35.6     NaN
129     BJ   92.50  -0.11   4.64      11.8      Consumer Defensive                           Discount Stores        0.26  53.7  Bull       0.59   -2.63       0.01      35.2    3.78
130    SUI  127.07   0.06   3.57      16.2             Real Estate                        REIT - Residential        1.27  57.1  Bull       0.59    2.25       0.00      35.2    4.11
131     SG    8.44  -1.52  14.52       1.0       Consumer Cyclical                               Restaurants       11.40  53.8  Bear      -0.17   28.27       0.03      34.2    3.20
132     VG   13.54  -0.59   2.89      33.7                  Energy                       Oil & Gas Midstream        5.58  54.8  Bull       0.05    4.15       0.11      34.0    3.89
133   DNOW   13.80  -1.28   2.22       2.5             Industrials                   Industrial Distribution        5.54  61.1  Bull       0.05    5.02       0.03      33.6    5.00
134     BV   13.05   1.32   6.79       1.2             Industrials               Specialty Business Services        4.75  60.8  Bull       0.05    3.98       0.17      33.5    4.10
