Ticker,Price,Day%,Week%,MCap($B),Sector,Industry,Above EMA%,RSI,MACD,MACD Hist,ROC20%,Vol Ratio,Momentum,Rating
RIOT,26.94,-0.0,13.81,10.2,Financial Services,Capital Markets,32.75,73.1,Bull,0.13,68.59,0.08,74.0,4.47
HUT,116.34,-1.11,20.55,13.1,Financial Services,Capital Markets,39.09,69.5,Bull,0.56,63.86,0.06,74.0,4.69
QS,8.97,-1.54,16.95,5.5,Consumer Cyclical,Auto Parts,16.41,63.4,Bull,0.09,31.14,0.08,73.9,2.56
VICR,328.01,-5.16,24.15,15.0,Technology,Electronic Components,34.17,62.9,Bull,3.66,27.78,0.09,73.5,4.5
NVAX,10.44,-5.84,12.65,1.7,Healthcare,Biotechnology,15.34,62.1,Bull,0.17,31.03,0.1,73.5,
BWA,69.9,-1.31,11.04,14.3,Consumer Cyclical,Auto Parts,18.09,69.7,Bull,0.63,28.94,0.04,73.3,3.93
LLY,1113.11,2.79,9.25,992.6,Healthcare,Drug Manufacturers - General,13.24,74.5,Bull,11.23,30.99,0.16,73.0,4.26
INDI,5.17,0.19,31.89,1.1,Technology,Semiconductors,30.43,69.4,Bull,0.06,26.41,0.07,72.0,
BBY,72.02,11.59,18.1,15.2,Consumer Cyclical,Specialty Retail,16.59,76.8,Bull,1.44,22.63,0.7,71.8,3.44
HPQ,25.11,-1.49,19.17,23.1,Technology,Computer Hardware,19.6,69.9,Bull,0.41,24.68,0.22,71.3,2.76
LIND,22.5,-0.31,17.25,1.5,Consumer Cyclical,Travel Services,16.99,65.9,Bull,0.32,27.33,0.01,70.9,
CZR,29.25,1.62,6.15,6.0,Consumer Cyclical,Resorts & Casinos,7.95,63.1,Bull,0.14,6.81,6.3,70.5,4.22
ZGN,14.31,-0.69,6.95,3.8,Consumer Cyclical,Apparel Manufacturing,17.94,71.4,Bull,0.12,24.33,0.25,70.4,4.33
UAL,112.17,-0.4,14.44,36.4,Industrials,Airlines,14.79,69.5,Bull,1.97,26.57,0.1,69.8,4.65
LUMN,10.74,-1.2,15.36,11.1,Communication Services,Telecom Services,22.56,66.0,Bull,0.09,23.59,0.09,69.3,2.82
GENI,5.49,-0.36,9.36,1.5,Communication Services,Internet Content & Information,9.6,64.5,Bull,0.12,29.18,0.03,69.3,4.67
SKYT,38.26,1.0,8.91,1.9,Technology,Semiconductors,16.77,71.3,Bull,0.24,25.4,0.06,69.3,
CLF,12.68,-1.21,22.58,7.2,Basic Materials,Steel,20.33,68.4,Bull,0.18,23.66,0.07,69.3,3.08
FRMI,6.75,2.58,11.02,4.3,Real Estate,REIT - Specialty,6.0,58.3,Bull,0.11,34.19,0.12,69.0,4.38
VNET,10.62,-0.84,4.02,3.0,Technology,Information Technology Services,11.21,59.8,Bull,0.08,27.95,0.04,68.9,4.46
ABVX,132.32,2.0,10.36,10.5,Healthcare,Biotechnology,10.48,64.7,Bull,1.28,24.55,0.35,67.7,4.6
RUN,15.23,0.2,11.25,3.6,Technology,Solar,8.81,62.0,Bull,0.14,27.66,0.06,67.5,3.95
KLAR,17.08,-0.99,6.15,6.5,Technology,Software - Infrastructure,10.08,63.0,Bull,0.24,26.89,0.04,67.3,4.16
PLUG,4.12,-0.49,24.47,5.7,Industrials,Electrical Equipment & Parts,31.15,67.8,Bull,0.03,20.82,0.15,67.1,3.2
